Direction,ReferenceIndex,PayDate,AccrualStart,AccrualEnd,Days,Notional,Principal,ResetDate,ResetRate,Payment,Discount,PV
REC,EURIBOR3M,10/22/2025,NULL,NULL,NULL,NULL,-10000000,NULL,NULL,-10000000,0.999893,-9998929.15
REC,EURIBOR3M,01/22/2026,10/22/2025,01/22/2026,92,10000000,0,10/20/2025,2.015,51494.44,0.995021,51238.05
REC,EURIBOR3M,04/22/2026,01/22/2026,04/22/2026,90,10000000,0,01/20/2026,1.97663,49415.83,0.990424,48942.65
REC,EURIBOR3M,07/22/2026,04/22/2026,07/22/2026,91,10000000,0,04/20/2026,1.90996,48279.42,0.985986,47602.81
REC,EURIBOR3M,10/22/2026,07/22/2026,10/22/2026,92,10000000,0,07/20/2026,1.88116,48074.08,0.981603,47189.68
REC,EURIBOR3M,01/22/2027,10/22/2026,01/22/2027,92,10000000,0,10/20/2026,1.88052,48057.79,0.977215,46962.78
REC,EURIBOR3M,04/22/2027,01/22/2027,04/22/2027,90,10000000,0,01/20/2027,1.90725,47681.26,0.97294,46391.02
REC,EURIBOR3M,07/22/2027,04/22/2027,07/22/2027,91,10000000,0,04/20/2027,1.94976,49285.67,0.968433,47729.86
REC,EURIBOR3M,10/22/2027,07/22/2027,10/22/2027,92,10000000,0,07/20/2027,1.99862,51075.78,0.963894,49231.67
REC,EURIBOR3M,01/24/2028,10/22/2027,01/24/2028,94,10000000,0,10/20/2027,2.07485,54176.68,0.958883,51949.09
REC,EURIBOR3M,04/24/2028,01/24/2028,04/24/2028,91,10000000,0,01/20/2028,2.13839,54053.67,0.954043,51569.54
REC,EURIBOR3M,07/24/2028,04/24/2028,07/24/2028,91,10000000,0,04/20/2028,2.13839,54053.67,0.949228,51309.27
REC,EURIBOR3M,10/23/2028,07/24/2028,10/23/2028,91,10000000,0,07/20/2028,2.13839,54053.67,0.944437,51050.31
REC,EURIBOR3M,01/22/2029,10/23/2028,01/22/2029,91,10000000,0,10/19/2028,2.31039,58401.51,0.939239,54852.99
REC,EURIBOR3M,04/23/2029,01/22/2029,04/23/2029,91,10000000,0,01/18/2029,2.31039,58401.51,0.934065,54550.8
REC,EURIBOR3M,07/23/2029,04/23/2029,07/23/2029,91,10000000,0,04/19/2029,2.31039,58401.51,0.928919,54250.28
REC,EURIBOR3M,10/22/2029,07/23/2029,10/22/2029,91,10000000,0,07/19/2029,2.31039,58401.51,0.923802,53951.41
REC,EURIBOR3M,01/22/2030,10/22/2029,01/22/2030,92,10000000,0,10/18/2029,2.45756,62804.27,0.918273,57671.46
REC,EURIBOR3M,04/23/2030,01/22/2030,04/23/2030,91,10000000,0,01/18/2030,2.45747,62119.5,0.912833,56704.72
REC,EURIBOR3M,07/22/2030,04/23/2030,07/22/2030,90,10000000,0,04/17/2030,2.45739,61434.78,0.907484,55751.09
REC,EURIBOR3M,10/22/2030,07/22/2030,10/22/2030,92,10000000,0,07/18/2030,2.45756,62804.27,0.902049,56652.54
REC,EURIBOR3M,01/22/2031,10/22/2030,01/22/2031,92,10000000,0,10/18/2030,2.59661,66357.84,0.896317,59477.68
REC,EURIBOR3M,04/22/2031,01/22/2031,04/22/2031,90,10000000,0,01/20/2031,2.59642,64910.6,0.890742,57818.59
REC,EURIBOR3M,07/22/2031,04/22/2031,07/22/2031,91,10000000,0,04/18/2031,2.59652,65634.2,0.88514,58095.43
REC,EURIBOR3M,10/22/2031,07/22/2031,10/22/2031,92,10000000,0,07/18/2031,2.59661,66357.84,0.879512,58362.49
REC,EURIBOR3M,01/22/2032,10/22/2031,01/22/2032,92,10000000,0,10/20/2031,2.73037,69776.02,0.873645,60959.5
REC,EURIBOR3M,04/22/2032,01/22/2032,04/22/2032,91,10000000,0,01/20/2032,2.73026,69014.97,0.867878,59896.61
REC,EURIBOR3M,07/22/2032,04/22/2032,07/22/2032,91,10000000,0,04/20/2032,2.73026,69014.97,0.86215,59501.23
REC,EURIBOR3M,10/22/2032,07/22/2032,10/22/2032,92,10000000,0,07/20/2032,2.73037,69776.02,0.856396,59755.92
REC,EURIBOR3M,01/24/2033,10/22/2032,01/24/2033,94,10000000,0,10/20/2032,2.86426,74788.9,0.850208,63586.11
REC,EURIBOR3M,04/22/2033,01/24/2033,04/22/2033,88,10000000,0,01/20/2033,2.86357,69998.47,0.844444,59109.82
REC,EURIBOR3M,07/22/2033,04/22/2033,07/22/2033,91,10000000,0,04/20/2033,2.86391,72393.4,0.838525,60703.71
REC,EURIBOR3M,10/24/2033,07/22/2033,10/24/2033,94,10000000,0,07/20/2033,2.86426,74788.9,0.832455,62258.39
REC,EURIBOR3M,01/23/2034,10/24/2033,01/23/2034,91,10000000,0,10/20/2033,2.98011,75330.59,0.826433,62255.68
REC,EURIBOR3M,04/24/2034,01/23/2034,04/24/2034,91,10000000,0,01/19/2034,2.98011,75330.59,0.820452,61805.16
REC,EURIBOR3M,07/24/2034,04/24/2034,07/24/2034,91,10000000,0,04/20/2034,2.98011,75330.59,0.814515,61357.9
REC,EURIBOR3M,10/23/2034,07/24/2034,10/23/2034,91,10000000,0,07/20/2034,2.98011,75330.59,0.808621,60913.88
REC,EURIBOR3M,01/22/2035,10/23/2034,01/22/2035,91,10000000,0,10/19/2034,3.083,77931.37,0.80254,62543.01
REC,EURIBOR3M,04/23/2035,01/22/2035,04/23/2035,91,10000000,0,01/18/2035,3.083,77931.37,0.796502,62072.47
REC,EURIBOR3M,07/23/2035,04/23/2035,07/23/2035,91,10000000,0,04/19/2035,3.083,77931.37,0.790509,61605.47
REC,EURIBOR3M,10/22/2035,07/23/2035,10/22/2035,91,10000000,0,07/19/2035,3.083,77931.37,0.784562,61141.99
REC,EURIBOR3M,01/22/2036,10/22/2035,01/22/2036,92,10000000,0,10/18/2035,3.1569,80676.42,0.778419,62800.05
REC,EURIBOR3M,04/22/2036,01/22/2036,04/22/2036,91,10000000,0,01/18/2036,3.15677,79796.01,0.772388,61633.48
REC,EURIBOR3M,07/22/2036,04/22/2036,07/22/2036,91,10000000,0,04/18/2036,3.15677,79796.01,0.766404,61155.97
REC,EURIBOR3M,10/22/2036,07/22/2036,10/22/2036,92,10000000,0,07/18/2036,3.1569,80676.42,0.760401,61346.44
REC,EURIBOR3M,01/22/2037,10/22/2036,01/22/2037,92,10000000,0,10/20/2036,3.21767,82229.36,0.754364,62030.89
REC,EURIBOR3M,04/22/2037,01/22/2037,04/22/2037,90,10000000,0,01/20/2037,3.21738,80434.59,0.748504,60205.64
REC,EURIBOR3M,07/22/2037,04/22/2037,07/22/2037,91,10000000,0,04/20/2037,3.21753,81331.94,0.742625,60399.17
REC,EURIBOR3M,10/22/2037,07/22/2037,10/22/2037,92,10000000,0,07/20/2037,3.21767,82229.36,0.736729,60580.75
REC,EURIBOR3M,01/22/2038,10/22/2037,01/22/2038,92,10000000,0,10/20/2037,3.25246,83118.41,0.73082,60744.6
REC,EURIBOR3M,04/22/2038,01/22/2038,04/22/2038,90,10000000,0,01/20/2038,3.25217,81304.16,0.725085,58952.42
REC,EURIBOR3M,07/22/2038,04/22/2038,07/22/2038,91,10000000,0,04/20/2038,3.25231,82211.24,0.719332,59137.16
REC,EURIBOR3M,10/22/2038,07/22/2038,10/22/2038,92,10000000,0,07/20/2038,3.25246,83118.41,0.713562,59310.12
REC,EURIBOR3M,01/24/2039,10/22/2038,01/24/2039,94,10000000,0,10/20/2038,3.25275,84932.98,0.707714,60108.27
REC,EURIBOR3M,04/22/2039,01/24/2039,04/22/2039,88,10000000,0,01/20/2039,3.25187,79490.24,0.702283,55824.66
REC,EURIBOR3M,07/22/2039,04/22/2039,07/22/2039,91,10000000,0,04/20/2039,3.25231,82211.24,0.696711,57277.48
REC,EURIBOR3M,10/24/2039,07/22/2039,10/24/2039,94,10000000,0,07/20/2039,3.25275,84932.98,0.691002,58688.82
REC,EURIBOR3M,01/23/2040,10/24/2039,01/23/2040,91,10000000,0,10/20/2039,3.25231,82211.24,0.685519,56357.35
